strongs	hebrew	translit	gloss
550	אַמְנוֹן	am.non	Amnon
551	אׇמְנָם	om.nam	truly
552	אֻמְנָם	um.nam	truly
553	אָמֵץ	a.mats	to strengthen
554	אָמֹץ	a.mots	strong
555	אֹ֫מֶץ	o.mets	strength
556	אַמְצָה	am.tsah	strength
557	אַמְצִי	am.tsi	Amzi
558	אֲמַצְיָ֫הוּ	a.mats.yah	Amaziah
559	אָמַר	a.mar	to say
561	אֵמֶר	e.mer	word
562	אֹמֶר	o.mer	word
563	אִמַּר	im.mar	lamb
564	אִמֵּר	im.mer	Immer
565	אִמְרָה	im.rah	word
566	אִמְרִי	im.ri	Imri
567	אֱמֹרִי	e.mo.ri	Amorite
568	אֲמַרְיָ֫הוּ	a.mar.yah	Amariah
569	אַמְרָפֶל	am.ra.phel	Amraphel
570	אֶ֫מֶשׁ	e.mesh	last night
571	אֱמֶת	e.met	truth: faithful
572	אַמְתַּ֫חַת	am.ta.chat	sack
573	אֲמִתַּי	a.mit.tay	Amittai
574	אֵימְתָן	e.me.ta.ni	terrible
575	אָן	an	where?
577	אָֽנָּ֫א	an.na	Please!
578	אָנָה	a.nah	to lament
579	אָנָה	a.nah	to meet
582	אֱנוֹשׁ	e.nosh	human
583	אֱנוֹשׁ	e.nosh	Enosh
584	אָנַח	a.nach	to sigh
585	אֲנָחָה	a.na.chah	sighing
587	אֲנוּ	a.nu	we
588	אֲנָֽחֲרָ֑ת	a.na.cha.rat	Anaharath
589	אֲנָא	a.na	me
590	אֳנִי	o.ni	fleet
591	אֳנִיָּה	o.niy.yah	fleet
592	אֲנִיָּה	a.niy.yah	lamentation
593	אֲנִיעָם	a.ni.am	Aniam
594	אֲנָךְ	a.nakh	plumbline
596	אָנַן	a.nan	to complain
597	אָנַס	a.nas	to compel
599	אָנַף	a.naph	be angry
601	אֲנָפָה	a.na.phah	heron
602	אָנַק	a.naq	to groan
603	אֲנָקָה	a.na.qah	groaning
604	אֲנָקָה	a.na.qah	gecko
605	אָנַשׁ	a.nash	be incurable
609	אָסָא	a.sa	Asa
610	אָסוּךְ	a.sukh	flask
611	אָסוֹן	a.son	harm
612	אֵסוּר	e.sur	bond
614	אָסִיף	a.siph	ingathering
